travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,Airlines,year,month
Solo Leisure,Economy Class,Bangalore to Paris via Delhi,2024-08-01,2.0,1.0,2.0,1.0,1.0,1.0,0,1.0,"   Had a flight on 31 August from Bangalore to Paris with a stop in Delhi. Although the connection was 3h appart, and the Air India personell assured me that the baggage will be forwarded in Delhi, hey did not manage to do that. I am now 24 days latter, after 10's of calls and several tickets opened still not in the possesion of my luggage. Air India knows nothing, all they suggest is rasing another ticket. As the others I already have are closed. Not that anyone even contacted me once to tell me something. The sheer incompetence of this airline is incredible. I will take a moment here also to speak about the flight itself: aircraft dirty, not a little dirty but dirty in a gross way, like it was cleaned the last time a few years ago. Entertainment wise, 50% of all screens in the aircraft were not working, the ones that did had headphones issues, the perfect environment to spend 9h. This was the last time that I will buy a ticket from them and I really advice everyone else to not look at a couple of dollars difference and save yourselves hours of headaches. Customer support is inexistant, they answer, they barely speak english and all that they do is open tickets that they close themselves probably to look good in statistics as none of my tickets got any answer, or at least an automatic email saying that your ticket is closed. You just wait like an idiot and nothing happens.",Indigo,2024,8
Family Leisure,Economy Class,Sydney to Amritsar via Delhi,2024-09-01,3.0,4.0,1.0,1.0,1.0,2.0,0,1.0,"   I had the worst experience with Air India.  I had 2 carry-on bags, and both of them were lost during handling by airline. By the time, I received them I was missing all my money and valuables. When I made a complaint about it it was just a waste of my time, Delhi team was useless and instead of helping they give you headaches. No one take responsibility, that is main part which making airline zero. If you are reading my review I will say spend $50 extra and book other airline at least you will have peace of mind.",Indigo,2024,9
Business,Business Class,London to Delhi,2024-09-01,5.0,5.0,5.0,5.0,5.0,5.0,1,10.0," My husband left his passport at home and is flying Air India 16/09/24. The staff at check in desk kept on pushing for him to board right till the doors were closing, checked his bag and all waited standby until I reached to bring his passport. Naveen Sikka, absolutely lovely man who helped my husband board as well as his colleagues who rushed him on to the plane, all incredible thank you all for your help! We won’t forget it! If it was any other airline they wouldn’t have even entertained it! Thanks again!",Indigo,2024,9
Family Leisure,Economy Class,Delhi to Sydney,2024-09-01,1.0,1.0,2.0,1.0,2.0,1.0,0,1.0,"   On the way in from Sydney to Delhi , there were no sound and the return flight was even bad. We had three family members travelling together sitting in the same row and none of the entertainment stem were working. Insult to injury was that the flight attendants did not care about it and no effort was made to comfort the passengers. Somehow they expected us to accept it. Seats are broken. Think many times before booking with Air India as it is full of surprises. Better to find any alternate flight because these 14 hours of the flight were the worst of my flying experience.",Indigo,2024,9
Family Leisure,Economy Class,Kochi to Vancouver,2023-12-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0," This is the worst airlines anyone can choose, I had a flight with my family on December 1st 2023 from Delhi to Vancouver. The flight was supposed to be at 5:15 am, which was delayed later to 7:15 am, to 10:15am and 12:30 pm, then again delayed to around 1 pm. Me and my family were in a transit from Cochin. The airline kept on changing the time without any notice. My initial layover was five hours at airport which eventually led a twelve hour stay in an airport. Once I reached my destination and contacted the customer care, they wouldn’t help me out with the whole thing, instead they said they will contact me back vey soon. Till this day they haven’t. This is not the first time I’m facing the same issue. From my experience never choose Air India, the service is just getting worse and worse. No sense of customer satisfaction or helping them. To say the airport staff are just communalists. Even though they know a person don’t know Hindi they just keep forcing and shoving Hindi on to your face. I have called the customer service more than five times still these company does not give a damn about there passengers. Flying on Air India is just useless and you won’t be able to reach your destination on time. If anyone need to reach a destination on time go for a different flight. Also if the cabin crew ask me every time do I need veg / non- veg. If I say veg they serve me non veg and if I ask non veg they serve me veg. Overall this flight is ridiculous.",Indigo,2023,12
Family Leisure,Economy Class,Toronto to Cochin via Delhi,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   Air India is the worst Airline I have travelled in the last 20 years.  I travelled from Cochin to Toronto via Delhi on August 27th. On August 28th after reaching Toronto, I realized 1 of my checked in baggage is missing. I filed the report at the airport, have been emailing all the India / Toronto contacts found, called customer care. The way these guy reply or respond give a single meaning they don't care. I have been getting no unsatisfactory replies or response from the moment I am trying to contact them and today has been 2weeks since reporting to them. The level of service they provide is beyond the worst. I am consistently emailing the customer care teams and relevant staff at Air India if you guys cant take care of the luggage's please make sure you revise the baggage policy. ",Indigo,2024,8
Solo Leisure,Economy Class,London to Tokyo via Delhi,2024-09-01,1.0,2.0,2.0,1.0,1.0,1.0,0,1.0,"   18 hour delay in reaching my destination! Extremely poor management of flight delay in London, Despite 6 hour delay in leaving London and anticipated missed connexon, Air India insisted that we board the flight to Delhi (to avoid transferring to another airline) then transit passengers had to fight for themselves to obtain a transfer many hours later, Also, no entertainment during flight to Delhi, broken seat, just to name a few additional issues. I have requested compensation from Air India as I am entitled, no news so far, but I will fight to get what I am entitled for 520 GBP.",Indigo,2024,9
Solo Leisure,Economy Class,Frankfurt to Bangkok via Delhi,2024-08-01,1.0,4.0,2.0,1.0,4.0,2.0,0,2.0,"  Annoying, frustrating and sad experience I won't repeat. No idea how this airline can be part of Star Alliance with their standard being so far behind. Almost all entertainment screens were broken - dirty floor and seats with stains - no water or toilet paper in the toilets - horrible food especially for people who can't handle spicy or lentils well - seats in A320 ridiculously close to each other, got constantly slammed by the guy in front of me. This felt even worse than Ryanair but they're at least cheap, also there was no entertainment on 4hr flight - security at Delhi Airport steals your vape and lighter even if you just transit but let's you pass with a custom half liter bottle with an unknown substance? I have no understanding for this behaviour at all, Security also was unfriendly and arrogant. Absurdly high fees for change of flight data if ticket not eligible for online change (360€ for 1 day later), might be like this with other carriers as well but I don't like it. Actually the only good thing I can say is that you can take 2 big suitcases while Air France, KLM, Lufthansa ... try to rip you off here and offer long distance flight fares even without any luggage which messes up the results of flight search engines. I will avoid both Indian airports and Air India in the future, that was by far the lowest standard I have ever experienced by an airline flying to Europe. ",Indigo,2024,8
Business,Business Class,Delhi to San Francisco ,2024-09-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   We booked lie flat seats with the new Air India airplanes (AI 183 from DEL to SFO) but they changed to an old airplane with an ancient angled flat seat which should not even be premium economy. They also refused to change to a different flight or upgrade the class of travel, claiming very high change fees - even though I had paid $4,214 per person. This is in-spite of me having knee surgery last year making travel hard for me. Would definitely avoid at all cost - new management has not made them change their ways",Indigo,2024,9
Couple Leisure,Economy Class,New York to Mumbai,2024-08-01,2.0,3.0,1.0,1.0,2.0,2.0,0,2.0,"   Just horrible. There are no hopes for this airline to get better. The equipment is super old, food quality is close to inedible and on-time performance doesn’t exist.",Indigo,2024,8
